"시점","항목",총지수,백화점,대형마트,면세점,슈퍼마켓 및 잡화점,체인 슈퍼마켓,일반 슈퍼마켓 및 잡화점,편의점,승용차 및 연료 소매점,승용차 소매점,연료 소매점,전문소매점,가전·컴퓨터·통신기기 소매점,의복·신발·가방 소매점,음식·가정· 문화상품 소매점,의약품·화장품·기타상품 소매점,무점포 소매,인터넷 쇼핑,홈쇼핑,방문 및 배달 소매점
"2019. 09","불변지수",113.3,102.4,104.2,298.6,101.9,121.4,91.6,157.7,106.9,110.6,103.6,91.5,84.5,90.1,87.2,102.9,162.2,203.8,124.4,81.4
"2019. 10","불변지수",115.7,106.5,85.5,291.8,91.5,102.0,86.0,158.3,116.6,124.9,109.1,96.0,91.7,103.4,82.2,105.9,172.6,215.3,139.0,82.9
"2019. 11","불변지수",120.4,117.1,90.5,305.1,92.5,102.7,87.2,150.2,119.8,129.5,110.9,99.3,96.9,112.7,79.9,107.1,186.7,241.3,138.9,78.3
"2019. 12","불변지수",121.6,114.1,95.2,302.7,93.4,103.5,88.1,147.2,130.0,147.9,113.6,97.8,89.7,102.2,87.4,110.1,180.8,231.0,138.1,79.3
"2020. 01","불변지수",111.6,101.0,110.7,267.7,102.0,118.6,93.3,142.8,99.0,92.0,105.4,91.8,86.7,83.1,90.5,106.7,169.9,213.0,131.7,85.0
"2020. 02","불변지수",97.7,71.7,84.5,146.6,91.2,105.2,83.8,134.9,88.4,77.9,98.1,78.5,87.1,59.4,78.3,94.3,181.6,238.3,130.0,72.0
"2020. 03","불변지수",107.0,67.7,88.7,146.0,97.5,115.0,88.4,140.2,120.3,140.0,102.2,74.6,88.1,56.1,72.4,88.7,204.2,269.3,146.1,76.1
"2020. 04","불변지수",108.9,82.3,88.6,133.6,95.8,109.5,88.6,141.7,121.5,145.2,99.7,81.7,87.8,72.5,77.1,93.1,192.2,253.4,133.3,77.8
"2020. 05","불변지수",118.6,98.5,92.8,137.0,104.9,119.2,97.4,158.8,125.4,147.2,105.5,94.6,98.9,96.3,85.8,99.2,201.9,268.0,139.9,76.3
"2020. 06","불변지수",117.3,92.1,89.1,148.3,98.7,111.5,92.0,160.6,137.8,174.5,104.3,87.2,100.2,76.8,79.2,98.9,197.8,261.7,139.2,74.2
"2020. 07","불변지수",111.2,85.2,91.9,165.7,95.9,110.2,88.4,165.6,120.1,134.1,107.3,80.9,91.1,66.8,76.8,94.4,197.8,265.0,130.6,75.2
"2020. 08","불변지수",111.8,82.9,100.8,190.8,98.7,117.2,89.0,165.0,114.8,121.5,108.6,78.9,107.0,55.7,74.6,90.4,207.8,287.2,126.2,66.3
"2020. 09","불변지수",117.8,94.4,112.5,194.5,106.2,131.3,93.1,156.5,119.4,138.0,102.4,84.1,89.7,67.7,92.0,90.2,215.4,292.0,138.0,76.7
"2020. 10","불변지수",115.6,106.2,88.6,183.0,84.5,92.3,80.4,157.9,122.0,137.3,107.9,87.2,86.7,94.6,77.2,90.2,213.1,287.8,144.3,69.2
"2020. 11","불변지수",118.8,108.7,88.6,186.5,89.6,101.7,83.3,150.2,128.7,150.9,108.4,86.9,92.0,90.3,75.9,91.8,224.2,308.0,142.3,69.1
"2020. 12","불변지수",119.0,95.6,101.3,154.6,95.9,113.7,86.6,147.4,129.2,151.0,109.3,83.1,89.0,67.9,86.0,93.1,236.9,325.3,153.0,70.1
"2021. 01 p)","불변지수",111.6,94.5,100.9,180.7,91.5,106.2,83.8,142.7,112.5,123.8,102.1,78.0,96.4,59.5,76.0,88.4,221.8,301.8,142.1,75.8
"2021. 02 p)","불변지수",105.9,95.7,95.4,152.9,89.9,109.4,79.7,132.3,105.3,111.2,100.0,78.6,87.9,63.3,81.3,86.5,198.1,272.6,124.0,61.9
