"시점","항목","업태별",데이터
"2019. 07","불변지수","백화점",89.7
"2019. 07","불변지수","대형마트",92.8
"2019. 07","불변지수","면세점",265.7
"2019. 07","불변지수","슈퍼마켓 및 잡화점",98.3
"2019. 07","불변지수","체인 슈퍼마켓",111.1
"2019. 07","불변지수","일반 슈퍼마켓 및 잡화점",91.6
"2019. 07","불변지수","편의점",161.8
"2019. 07","불변지수","승용차 및 연료 소매점",109.7
"2019. 07","불변지수","승용차 소매점",113.6
"2019. 07","불변지수","연료 소매점",106.2
"2019. 07","불변지수","전문소매점",89.1
"2019. 07","불변지수","가전·컴퓨터·통신기기 소매점",96.6
"2019. 07","불변지수","의복·신발·가방 소매점",81.6
"2019. 07","불변지수","음식·가정· 문화상품 소매점",80.3
"2019. 07","불변지수","의약품·화장품·기타상품 소매점",102.2
"2019. 07","불변지수","무점포 소매",163.6
"2019. 07","불변지수","인터넷 쇼핑",205.2
"2019. 07","불변지수","홈쇼핑",124.7
"2019. 07","불변지수","방문 및 배달 소매점",84.4
"2019. 08","불변지수","총지수",111.5
"2019. 08","불변지수","백화점",90.1
"2019. 08","불변지수","대형마트",101.0
"2019. 08","불변지수","면세점",289.7
"2019. 08","불변지수","슈퍼마켓 및 잡화점",102.7
"2019. 08","불변지수","체인 슈퍼마켓",118.5
"2019. 08","불변지수","일반 슈퍼마켓 및 잡화점",94.4
"2019. 08","불변지수","편의점",165.4
"2019. 08","불변지수","승용차 및 연료 소매점",109.3
"2019. 08","불변지수","승용차 소매점",108.7
"2019. 08","불변지수","연료 소매점",109.8
"2019. 08","불변지수","전문소매점",88.2
"2019. 08","불변지수","가전·컴퓨터·통신기기 소매점",105.1
"2019. 08","불변지수","의복·신발·가방 소매점",75.6
"2019. 08","불변지수","음식·가정· 문화상품 소매점",77.5
"2019. 08","불변지수","의약품·화장품·기타상품 소매점",102.7
"2019. 08","불변지수","무점포 소매",159.5
"2019. 08","불변지수","인터넷 쇼핑",200.9
"2019. 08","불변지수","홈쇼핑",120.3
"2019. 08","불변지수","방문 및 배달 소매점",81.3
"2019. 09","불변지수","총지수",113.3
"2019. 09","불변지수","백화점",102.4
"2019. 09","불변지수","대형마트",104.2
"2019. 09","불변지수","면세점",298.6
"2019. 09","불변지수","슈퍼마켓 및 잡화점",101.9
"2019. 09","불변지수","체인 슈퍼마켓",121.4
"2019. 09","불변지수","일반 슈퍼마켓 및 잡화점",91.6
"2019. 09","불변지수","편의점",157.7
"2019. 09","불변지수","승용차 및 연료 소매점",106.9
"2019. 09","불변지수","승용차 소매점",110.6
"2019. 09","불변지수","연료 소매점",103.6
"2019. 09","불변지수","전문소매점",91.5
