"시점","항목","업태별",데이터
"2017. 07","불변지수","백화점",88.0
"2017. 07","불변지수","대형마트",108.9
"2017. 07","불변지수","면세점",146.3
"2017. 07","불변지수","슈퍼마켓 및 잡화점",104.6
"2017. 07","불변지수","체인 슈퍼마켓",108.6
"2017. 07","불변지수","일반 슈퍼마켓 및 잡화점",102.6
"2017. 07","불변지수","편의점",142.9
"2017. 07","불변지수","승용차 및 연료 소매점",101.5
"2017. 07","불변지수","승용차 소매점",100.0
"2017. 07","불변지수","연료 소매점",102.9
"2017. 07","불변지수","전문소매점",95.3
"2017. 07","불변지수","가전·컴퓨터·통신기기 소매점",120.6
"2017. 07","불변지수","의복·신발·가방 소매점",84.8
"2017. 07","불변지수","음식·가정· 문화상품 소매점",85.2
"2017. 07","불변지수","의약품·화장품·기타상품 소매점",100.5
"2017. 07","불변지수","무점포 소매",126.7
"2017. 07","불변지수","인터넷 쇼핑",146.2
"2017. 07","불변지수","홈쇼핑",109.5
"2017. 07","불변지수","방문 및 배달 소매점",88.3
"2017. 08","불변지수","총지수",101.3
"2017. 08","불변지수","백화점",82.5
"2017. 08","불변지수","대형마트",100.9
"2017. 08","불변지수","면세점",175.1
"2017. 08","불변지수","슈퍼마켓 및 잡화점",104.1
"2017. 08","불변지수","체인 슈퍼마켓",109.2
"2017. 08","불변지수","일반 슈퍼마켓 및 잡화점",101.4
"2017. 08","불변지수","편의점",143.8
"2017. 08","불변지수","승용차 및 연료 소매점",101.0
"2017. 08","불변지수","승용차 소매점",96.9
"2017. 08","불변지수","연료 소매점",104.8
"2017. 08","불변지수","전문소매점",87.9
"2017. 08","불변지수","가전·컴퓨터·통신기기 소매점",102.0
"2017. 08","불변지수","의복·신발·가방 소매점",75.0
"2017. 08","불변지수","음식·가정· 문화상품 소매점",81.7
"2017. 08","불변지수","의약품·화장품·기타상품 소매점",99.5
"2017. 08","불변지수","무점포 소매",121.7
"2017. 08","불변지수","인터넷 쇼핑",138.3
"2017. 08","불변지수","홈쇼핑",109.0
"2017. 08","불변지수","방문 및 배달 소매점",86.6
"2017. 09","불변지수","총지수",109.5
"2017. 09","불변지수","백화점",100.8
"2017. 09","불변지수","대형마트",108.6
"2017. 09","불변지수","면세점",183.6
"2017. 09","불변지수","슈퍼마켓 및 잡화점",104.7
"2017. 09","불변지수","체인 슈퍼마켓",112.6
"2017. 09","불변지수","일반 슈퍼마켓 및 잡화점",100.5
"2017. 09","불변지수","편의점",144.1
"2017. 09","불변지수","승용차 및 연료 소매점",106.2
"2017. 09","불변지수","승용차 소매점",109.0
"2017. 09","불변지수","연료 소매점",103.7
"2017. 09","불변지수","전문소매점",98.0
"2017. 09","불변지수","가전·컴퓨터·통신기기 소매점",101.6
"2017. 09","불변지수","의복·신발·가방 소매점",91.3
"2017. 09","불변지수","음식·가정· 문화상품 소매점",96.1
"2017. 09","불변지수","의약품·화장품·기타상품 소매점",105.4
"2017. 09","불변지수","무점포 소매",134.2
"2017. 09","불변지수","인터넷 쇼핑",150.9
"2017. 09","불변지수","홈쇼핑",118.3
"2017. 09","불변지수","방문 및 배달 소매점",102.6
"2017. 10","불변지수","총지수",108.0
"2017. 10","불변지수","백화점",107.7
"2017. 10","불변지수","대형마트",103.5
"2017. 10","불변지수","면세점",168.4
"2017. 10","불변지수","슈퍼마켓 및 잡화점",101.5
"2017. 10","불변지수","체인 슈퍼마켓",107.1
"2017. 10","불변지수","일반 슈퍼마켓 및 잡화점",98.6
"2017. 10","불변지수","편의점",143.1
"2017. 10","불변지수","승용차 및 연료 소매점",98.6
"2017. 10","불변지수","승용차 소매점",90.9
"2017. 10","불변지수","연료 소매점",105.7
"2017. 10","불변지수","전문소매점",103.1
"2017. 10","불변지수","가전·컴퓨터·통신기기 소매점",104.5
"2017. 10","불변지수","의복·신발·가방 소매점",113.1
"2017. 10","불변지수","음식·가정· 문화상품 소매점",93.2
"2017. 10","불변지수","의약품·화장품·기타상품 소매점",101.6
"2017. 10","불변지수","무점포 소매",126.0
"2017. 10","불변지수","인터넷 쇼핑",140.8
"2017. 10","불변지수","홈쇼핑",121.6
"2017. 10","불변지수","방문 및 배달 소매점",85.1
"2017. 11","불변지수","총지수",115.0
"2017. 11","불변지수","백화점",117.2
"2017. 11","불변지수","대형마트",93.3
"2017. 11","불변지수","면세점",181.4
"2017. 11","불변지수","슈퍼마켓 및 잡화점",98.2
"2017. 11","불변지수","체인 슈퍼마켓",102.1
"2017. 11","불변지수","일반 슈퍼마켓 및 잡화점",96.1
"2017. 11","불변지수","편의점",134.4
"2017. 11","불변지수","승용차 및 연료 소매점",112.8
"2017. 11","불변지수","승용차 소매점",116.9
"2017. 11","불변지수","연료 소매점",109.1
"2017. 11","불변지수","전문소매점",107.1
"2017. 11","불변지수","가전·컴퓨터·통신기기 소매점",121.0
"2017. 11","불변지수","의복·신발·가방 소매점",123.7
"2017. 11","불변지수","음식·가정· 문화상품 소매점",85.9
"2017. 11","불변지수","의약품·화장품·기타상품 소매점",101.7
"2017. 11","불변지수","무점포 소매",152.9
"2017. 11","불변지수","인터넷 쇼핑",178.9
"2017. 11","불변지수","홈쇼핑",135.9
"2017. 11","불변지수","방문 및 배달 소매점",93.6
"2017. 12","불변지수","총지수",112.9
"2017. 12","불변지수","백화점",116.7
"2017. 12","불변지수","대형마트",102.4
"2017. 12","불변지수","면세점",176.9
"2017. 12","불변지수","슈퍼마켓 및 잡화점",99.1
"2017. 12","불변지수","체인 슈퍼마켓",103.0
"2017. 12","불변지수","일반 슈퍼마켓 및 잡화점",97.1
"2017. 12","불변지수","편의점",132.5
"2017. 12","불변지수","승용차 및 연료 소매점",109.7
"2017. 12","불변지수","승용차 소매점",108.5
"2017. 12","불변지수","연료 소매점",110.9
"2017. 12","불변지수","전문소매점",104.2
"2017. 12","불변지수","가전·컴퓨터·통신기기 소매점",107.8
"2017. 12","불변지수","의복·신발·가방 소매점",115.2
"2017. 12","불변지수","음식·가정· 문화상품 소매점",89.4
"2017. 12","불변지수","의약품·화장품·기타상품 소매점",105.6
"2017. 12","불변지수","무점포 소매",143.4
"2017. 12","불변지수","인터넷 쇼핑",168.2
"2017. 12","불변지수","홈쇼핑",127.0
"2017. 12","불변지수","방문 및 배달 소매점",87.0
"2018. 01","불변지수","총지수",105.3
"2018. 01","불변지수","백화점",93.0
"2018. 01","불변지수","대형마트",92.7
"2018. 01","불변지수","면세점",195.5
"2018. 01","불변지수","슈퍼마켓 및 잡화점",97.0
"2018. 01","불변지수","체인 슈퍼마켓",98.3
"2018. 01","불변지수","일반 슈퍼마켓 및 잡화점",96.3
"2018. 01","불변지수","편의점",126.9
"2018. 01","불변지수","승용차 및 연료 소매점",102.5
"2018. 01","불변지수","승용차 소매점",103.5
"2018. 01","불변지수","연료 소매점",101.5
"2018. 01","불변지수","전문소매점",93.7
"2018. 01","불변지수","가전·컴퓨터·통신기기 소매점",105.9
"2018. 01","불변지수","의복·신발·가방 소매점",95.1
"2018. 01","불변지수","음식·가정· 문화상품 소매점",80.5
"2018. 01","불변지수","의약품·화장품·기타상품 소매점",97.9
"2018. 01","불변지수","무점포 소매",144.3
"2018. 01","불변지수","인터넷 쇼핑",162.9
"2018. 01","불변지수","홈쇼핑",135.2
"2018. 01","불변지수","방문 및 배달 소매점",97.7
"2018. 02","불변지수","총지수",101.7
"2018. 02","불변지수","백화점",95.2
"2018. 02","불변지수","대형마트",103.8
"2018. 02","불변지수","면세점",169.6
"2018. 02","불변지수","슈퍼마켓 및 잡화점",99.8
"2018. 02","불변지수","체인 슈퍼마켓",109.7
"2018. 02","불변지수","일반 슈퍼마켓 및 잡화점",94.6
"2018. 02","불변지수","편의점",118.6
"2018. 02","불변지수","승용차 및 연료 소매점",95.0
"2018. 02","불변지수","승용차 소매점",92.8
"2018. 02","불변지수","연료 소매점",97.1
"2018. 02","불변지수","전문소매점",91.9
"2018. 02","불변지수","가전·컴퓨터·통신기기 소매점",98.9
"2018. 02","불변지수","의복·신발·가방 소매점",90.2
"2018. 02","불변지수","음식·가정· 문화상품 소매점",85.1
"2018. 02","불변지수","의약품·화장품·기타상품 소매점",96.2
"2018. 02","불변지수","무점포 소매",128.9
"2018. 02","불변지수","인터넷 쇼핑",147.8
"2018. 02","불변지수","홈쇼핑",117.9
"2018. 02","불변지수","방문 및 배달 소매점",84.3
"2018. 03","불변지수","총지수",113.3
"2018. 03","불변지수","백화점",102.4
"2018. 03","불변지수","대형마트",96.4
"2018. 03","불변지수","면세점",222.0
