"가계수지항목별",2019,2020
"가계수지항목별",전체가구,전체가구
"01.식료품 · 비주류음료",332558,381056
"곡물",18517,19347
"곡물가공품",15812,18688
"빵및떡류",22361,24616
"육류",48712,60312
"육류가공품",12189,14470
"신선수산동물",18697,22111
"염건수산동물",6168,6679
"기타수산동물가공",6975,8305
"유제품및알",25657,27997
"유지류",2579,3291
"과일및과일가공품",37779,39969
"채소및채소가공품",33577,41374
"해조및해조가공품",3655,3907
"당류및과자류",25168,27375
"조미식품",12797,15616
"기타식품",19960,23524
"커피및차",8239,9110
"쥬스및기타음료",13716,14366
