"가계지출항목별(1)",가계지출항목별(2),2017,2018
"가계지출항목별(1)",가계지출항목별(2),전체가구,전체가구
"11.음식 · 숙박 (원)",소계,354158,349699
"11.음식 · 숙박 (원)",식사비 (원),341002,336133
"11.음식 · 숙박 (원)",숙박비 (원),13156,13566
